2025/04/03 00:00:25,2025-04-03,00:00:25,79,61
2025/04/03 00:05:24,2025-04-03,00:05:24,72,64
2025/04/03 00:10:26,2025-04-03,00:10:26,74,69
2025/04/03 00:15:24,2025-04-03,00:15:24,78,69
2025/04/03 00:20:25,2025-04-03,00:20:25,79,61
2025/04/03 00:25:24,2025-04-03,00:25:24,72,64
2025/04/03 00:32:26,2025-04-03,00:32:26,74,69
2025/04/03 00:35:24,2025-04-03,00:35:24,78,69
2025/04/03 00:40:24,2025-04-03,00:40:24,76,67
2025/04/03 00:45:25,2025-04-03,00:45:25,78,58
2025/04/03 00:50:24,2025-04-03,00:50:24,82,68
2025/04/03 00:55:24,2025-04-03,00:55:24,78,72
2025/04/03 01:02:26,2025-04-03,01:02:26,87,70
2025/04/03 01:05:24,2025-04-03,01:05:24,81,71
2025/04/03 01:10:24,2025-04-03,01:10:24,87,77
2025/04/03 01:15:24,2025-04-03,01:15:24,89,72
2025/04/03 01:20:24,2025-04-03,01:20:24,79,73
2025/04/03 01:25:24,2025-04-03,01:25:24,83,70
2025/04/03 01:32:26,2025-04-03,01:32:26,77,69
2025/04/03 01:35:24,2025-04-03,01:35:24,82,75
2025/04/03 01:40:24,2025-04-03,01:40:24,83,73
2025/04/03 01:45:24,2025-04-03,01:45:24,77,75
2025/04/03 01:50:25,2025-04-03,01:50:25,85,75
2025/04/03 01:55:24,2025-04-03,01:55:24,83,70
2025/04/03 02:02:26,2025-04-03,02:02:26,67,80
2025/04/03 02:05:25,2025-04-03,02:05:25,6,70
2025/04/03 02:10:24,2025-04-03,02:10:24,79,71
2025/04/03 02:15:24,2025-04-03,02:15:24,84,71
2025/04/03 02:20:24,2025-04-03,02:20:24,87,70
2025/04/03 02:25:23,2025-04-03,02:25:23,78,78
2025/04/03 02:32:26,2025-04-03,02:32:26,84,67
2025/04/03 02:35:24,2025-04-03,02:35:24,73,73
2025/04/03 02:40:23,2025-04-03,02:40:23,88,64
2025/04/03 02:45:24,2025-04-03,02:45:24,80,62
2025/04/03 02:50:24,2025-04-03,02:50:24,84,70
2025/04/03 02:55:23,2025-04-03,02:55:23,89,75
2025/04/03 03:02:26,2025-04-03,03:02:26,83,69
2025/04/03 03:05:24,2025-04-03,03:05:24,74,67
2025/04/03 03:10:23,2025-04-03,03:10:23,83,73
2025/04/03 03:15:24,2025-04-03,03:15:24,85,68
2025/04/03 03:20:24,2025-04-03,03:20:24,78,73
2025/04/03 03:25:23,2025-04-03,03:25:23,66,72
2025/04/03 03:32:26,2025-04-03,03:32:26,73,68
2025/04/03 03:35:24,2025-04-03,03:35:24,83,63
2025/04/03 03:40:24,2025-04-03,03:40:24,66,58
2025/04/03 03:45:23,2025-04-03,03:45:23,80,66
2025/04/03 03:50:24,2025-04-03,03:50:24,88,71
2025/04/03 03:55:24,2025-04-03,03:55:24,84,68
2025/04/03 04:02:25,2025-04-03,04:02:25,87,72
